CompteurTemps	Temps	Cx0	Cy0	
1	0	-304.11	23.6652	
2	1e-06	-269.042	-89.6825	
3	2e-06	-145.026	-183.461	
4	3e-06	-126.171	-167.193	
5	4e-06	-109.875	-150.521	
6	5e-06	-101.457	-136.937	
7	6e-06	-90.9124	-122.784	
8	7e-06	-84.0176	-112.924	
9	8e-06	-77.35	-101.604	
10	9e-06	-68.5959	-92.8422	
11	1e-05	-61.5439	-84.1823	
12	1.1e-05	-57.3762	-76.6514	
13	1.2e-05	-54.0606	-71.106	
14	1.3e-05	-48.8873	-65.2511	
15	1.4e-05	-45.3392	-61.4292	
16	1.5e-05	-41.7645	-56.1554	
17	1.6e-05	-39.6458	-52.8647	
18	1.7e-05	-36.7661	-48.9807	
19	1.8e-05	-35.1056	-46.1668	
20	1.9e-05	-33.6574	-43.424	
21	2e-05	-30.8529	-41.6095	
22	2.1e-05	-30.8545	-39.964	
23	2.2e-05	-28.9492	-38.0744	
24	2.3e-05	-28.004	-36.6761	
25	2.4e-05	-26.8031	-34.9382	
26	2.5e-05	-24.8597	-34.9673	
27	2.6e-05	-23.9588	-33.3142	
28	2.7e-05	-23.2298	-31.5209	
29	2.8e-05	-22.9054	-30.5198	
30	2.9e-05	-21.8051	-31.2065	
31	3e-05	-21.0846	-30.8048	
32	3.1e-05	-20.9178	-29.7985	
33	3.2e-05	-20.4888	-28.8933	
34	3.3e-05	-19.3398	-28.3761	
35	3.4e-05	-19.9854	-27.4161	
36	3.5e-05	-19.6637	-27.318	
37	3.6e-05	-20.0767	-26.8727	
38	3.7e-05	-19.1808	-27.0057	
39	3.8e-05	-19.0546	-27.0149	
40	3.9e-05	-18.0541	-26.9255	
41	4e-05	-19.1206	-26.0404	
42	4.1e-05	-17.8091	-26.1985	
43	4.2e-05	-17.4771	-26.0165	
44	4.3e-05	-16.8367	-25.4144	
45	4.4e-05	-16.2335	-25.3726	
46	4.5e-05	-17.3144	-25.4508	
47	4.6e-05	-17.4942	-24.8183	
48	4.7e-05	-17.1392	-25.6498	
49	4.8e-05	-17.065	-25.1216	
50	4.9e-05	-17.2831	-24.9472	
51	5e-05	-16.5548	-24.8821	
52	5.1e-05	-16.8249	-24.7064	
53	5.2e-05	-15.9734	-25.0441	
54	5.3e-05	-16.415	-24.2239	
55	5.4e-05	-15.8421	-25.5041	
56	5.5e-05	-16.4244	-25.1981	
57	5.6e-05	-16.9148	-25.0389	
58	5.7e-05	-16.6336	-24.7569	
59	5.8e-05	-17.0566	-24.8204	
60	5.9e-05	-17.1419	-25.1608	
61	6e-05	-15.8301	-25.9382	
62	6.1e-05	-16.0838	-25.1242	
63	6.2e-05	-16.6487	-25.6459	
64	6.3e-05	-16.2722	-24.6261	
65	6.4e-05	-16.4008	-24.627	
66	6.5e-05	-15.6777	-25.0307	
67	6.6e-05	-15.5395	-24.9389	
68	6.7e-05	-16.3824	-25.0644	
69	6.8e-05	-16.5676	-25.4832	
70	6.9e-05	-16.2976	-25.2586	
71	7e-05	-16.9732	-25.2444	
72	7.1e-05	-16.3598	-26.1244	
73	7.2e-05	-15.6625	-25.4291	
74	7.3e-05	-16.0205	-24.8021	
75	7.4e-05	-16.181	-24.4263	
76	7.5e-05	-15.6602	-25.0235	
77	7.6e-05	-15.8917	-25.222	
78	7.7e-05	-16.6857	-24.5909	
79	7.8e-05	-15.9829	-25.4514	
80	7.9e-05	-15.5846	-25.4418	
81	8e-05	-15.9117	-24.6527	
82	8.1e-05	-15.4314	-24.8532	
83	8.2e-05	-15.9189	-24.3883	
84	8.3e-05	-15.9651	-25.1496	
85	8.4e-05	-16.2178	-25.0657	
86	8.5e-05	-16.3542	-25.1807	
87	8.6e-05	-16.2506	-24.5872	
88	8.7e-05	-15.5245	-25.0316	
89	8.8e-05	-16.2826	-24.4535	
90	8.9e-05	-15.638	-24.365	
91	9e-05	-15.7519	-24.0163	
92	9.1e-05	-15.6246	-24.8768	
