CompteurTemps	Temps	Cx0	Cy0	
1	0	-394.688	41.1625	
2	1e-06	-242.912	-129.413	
3	2e-06	-151.75	-183.952	
4	3e-06	-135.614	-168.751	
5	4e-06	-120.181	-151.628	
6	5e-06	-106.846	-138.205	
7	6e-06	-97.4672	-123.661	
8	7e-06	-89.5935	-110.968	
9	8e-06	-80.9349	-103.437	
10	9e-06	-71.733	-91.7582	
11	1e-05	-66.6843	-85.2526	
12	1.1e-05	-61.7586	-79.3764	
13	1.2e-05	-57.1162	-72.8079	
14	1.3e-05	-53.0869	-66.4451	
15	1.4e-05	-49.7152	-62.5983	
16	1.5e-05	-47.4802	-58.5183	
17	1.6e-05	-42.7656	-54.6915	
18	1.7e-05	-40.6258	-50.8848	
19	1.8e-05	-38.5542	-48.3179	
20	1.9e-05	-35.7915	-45.3914	
21	2e-05	-34.0085	-43.7996	
22	2.1e-05	-32.26	-42.1007	
23	2.2e-05	-30.3736	-40.3208	
24	2.3e-05	-29.3452	-37.3054	
25	2.4e-05	-28.8758	-35.8816	
26	2.5e-05	-28.2949	-35.3134	
27	2.6e-05	-26.3074	-34.1806	
28	2.7e-05	-26.1019	-32.8554	
29	2.8e-05	-24.5182	-32.0799	
30	2.9e-05	-23.4626	-31.8591	
31	3e-05	-22.5408	-31.4684	
32	3.1e-05	-21.9717	-30.0907	
33	3.2e-05	-22.3138	-29.2168	
34	3.3e-05	-21.0492	-28.8247	
35	3.4e-05	-21.3952	-28.3606	
36	3.5e-05	-21.1597	-27.64	
37	3.6e-05	-20.2634	-27.6641	
38	3.7e-05	-20.4505	-27.6082	
39	3.8e-05	-19.8218	-27.1861	
40	3.9e-05	-19.2717	-27.7568	
41	4e-05	-19.2727	-27.1281	
42	4.1e-05	-18.8644	-26.8211	
43	4.2e-05	-19.4534	-25.9531	
44	4.3e-05	-18.8181	-26.2364	
45	4.4e-05	-18.7857	-26.3446	
46	4.5e-05	-18.0906	-26.3974	
47	4.6e-05	-18.6054	-25.7328	
48	4.7e-05	-18.8046	-25.4071	
49	4.8e-05	-18.9287	-26.5342	
50	4.9e-05	-19.116	-26.0966	
51	5e-05	-18.5002	-25.8593	
52	5.1e-05	-17.5118	-26.0123	
53	5.2e-05	-18.4949	-26.1646	
54	5.3e-05	-18.5348	-25.0834	
55	5.4e-05	-18.6142	-25.5606	
56	5.5e-05	-18.0071	-24.9208	
57	5.6e-05	-17.7866	-25.9182	
58	5.7e-05	-18.0372	-26.5502	
59	5.8e-05	-18.1685	-26.1226	
60	5.9e-05	-17.6777	-26.1438	
61	6e-05	-17.5193	-26.2838	
62	6.1e-05	-17.4265	-26.3335	
63	6.2e-05	-18.0922	-25.6694	
64	6.3e-05	-17.5746	-25.7905	
65	6.4e-05	-17.893	-25.6325	
66	6.5e-05	-18.3387	-25.9978	
67	6.6e-05	-18.0608	-26.1263	
68	6.7e-05	-17.6973	-26.2077	
69	6.8e-05	-17.5394	-25.8934	
70	6.9e-05	-17.5066	-25.9221	
71	7e-05	-17.7727	-26.4312	
72	7.1e-05	-17.7151	-26.1892	
73	7.2e-05	-17.6864	-25.9875	
74	7.3e-05	-17.8777	-25.9027	
75	7.4e-05	-17.8476	-26.0451	
76	7.5e-05	-17.6368	-26.0882	
77	7.6e-05	-17.7561	-26.2812	
78	7.7e-05	-17.833	-26.2859	
79	7.8e-05	-17.7173	-25.9455	
80	7.9e-05	-17.1191	-25.6078	
81	8e-05	-17.1	-25.6241	
82	8.1e-05	-17.5774	-25.1408	
83	8.2e-05	-17.3691	-24.9501	
84	8.3e-05	-17.5157	-25.3098	
85	8.4e-05	-16.9601	-26.1421	
86	8.5e-05	-17.7893	-26.2067	
87	8.6e-05	-17.7626	-26.2755	
88	8.7e-05	-17.5983	-26.1205	
89	8.8e-05	-18.1514	-25.7049	
90	8.9e-05	-17.3872	-26.231	
91	9e-05	-17.9171	-25.6267	
92	9.1e-05	-18.3613	-25.6684	
93	9.2e-05	-17.4987	-26.661	
94	9.3e-05	-18.6744	-25.6613	
95	9.4e-05	-17.277	-26.7031	
96	9.5e-05	-17.7766	-26.6432	
97	9.6e-05	-17.2147	-26.5111	
98	9.7e-05	-18.2017	-25.9979	
99	9.8e-05	-18.2294	-26.4976	
100	9.9e-05	-17.6258	-26.1423	
101	0.0001	-18.5158	-25.8789	
102	0.000101	-17.7975	-26.4557	
103	0.000102	-18.0039	-26.3729	
104	0.000103	-18.5478	-25.8041	
105	0.000104	-18.0731	-26.5056	
106	0.000105	-17.2901	-26.5214	
107	0.000106	-17.774	-26.5306	
108	0.000107	-18.0149	-26.4767	
109	0.000108	-17.8408	-26.7297	
110	0.000109	-18.6362	-26.1394	
111	0.00011	-17.7581	-26.4963	
112	0.000111	-18.1948	-26.3546	
113	0.000112	-17.9005	-25.7899	
114	0.000113	-17.8629	-26.5337	
115	0.000114	-17.7876	-25.96	
116	0.000115	-17.8688	-26.2095	
117	0.000116	-17.3257	-26.4191	
118	0.000117	-17.7791	-25.8461	
119	0.000118	-17.9513	-26.2419	
120	0.000119	-17.432	-26.4098	
121	0.00012	-18.2788	-25.6966	
122	0.000121	-17.9471	-25.563	
123	0.000122	-18.2962	-24.954	
124	0.000123	-17.6918	-25.869	
125	0.000124	-17.6991	-25.4889	
126	0.000125	-18.6402	-24.8754	
127	0.000126	-18.5132	-25.5504	
128	0.000127	-17.089	-26.2798	
129	0.000128	-17.8383	-26.0504	
130	0.000129	-17.8961	-26.1077	
131	0.00013	-18.136	-26.5638	
132	0.000131	-18.5721	-26.6735	
133	0.000132	-17.7526	-26.5688	
134	0.000133	-17.9093	-26.0611	
135	0.000134	-17.8376	-25.7443	
136	0.000135	-18.2839	-25.7623	
137	0.000136	-17.8876	-25.6065	
138	0.000137	-17.7523	-25.6533	
139	0.000138	-18.212	-25.9754	
140	0.000139	-17.9642	-26.0292	
141	0.00014	-17.6956	-25.939	
142	0.000141	-18.0903	-26.0353	
143	0.000142	-18.2976	-25.5268	
144	0.000143	-18.4282	-25.4244	
145	0.000144	-18.0101	-25.8426	
146	0.000145	-18.3329	-25.3939	
147	0.000146	-18.594	-25.6605	
148	0.000147	-17.5522	-25.9748	
149	0.000148	-18.5241	-26.0687	
150	0.000149	-18.268	-26.5908	
151	0.00015	-18.2723	-26.2698	
152	0.000151	-18.2258	-26.9638	
153	0.000152	-18.8964	-25.9237	
154	0.000153	-18.0961	-26.8408	
155	0.000154	-18.5965	-26.5813	
156	0.000155	-18.6259	-26.3471	
157	0.000156	-18.3727	-26.651	
158	0.000157	-18.1809	-26.7697	
159	0.000158	-18.6026	-26.8948	
160	0.000159	-18.5039	-26.4362	
161	0.00016	-18.6026	-26.5075	
162	0.000161	-18.5619	-26.7158	
163	0.000162	-18.5685	-26.9657	
164	0.000163	-18.7997	-26.5402	
165	0.000164	-19.2475	-26.6815	
166	0.000165	-19.5853	-26.5846	
167	0.000166	-18.7152	-27.475	
168	0.000167	-18.8596	-27.3358	
169	0.000168	-19.1416	-27.0697	
170	0.000169	-18.5932	-26.8026	
171	0.00017	-19.2886	-26.3443	
172	0.000171	-19.6985	-26.9318	
173	0.000172	-18.9081	-27.1921	
174	0.000173	-19.064	-26.9311	
175	0.000174	-19.1545	-26.9848	
176	0.000175	-19.2401	-26.677	
177	0.000176	-19.3408	-27.2552	
178	0.000177	-19.7527	-26.8136	
179	0.000178	-19.8229	-27.4919	
180	0.000179	-19.7701	-27.9451	
181	0.00018	-19.8632	-27.2235	
182	0.000181	-18.8965	-27.369	
183	0.000182	-20.1246	-27.1529	
184	0.000183	-19.7533	-27.8139	
185	0.000184	-19.8023	-27.6466	
186	0.000185	-19.6566	-27.5158	
187	0.000186	-19.98	-27.1116	
188	0.000187	-19.9602	-27.8546	
189	0.000188	-20.0754	-28.2553	
190	0.000189	-19.8361	-27.4376	
191	0.00019	-19.8963	-27.8013	
192	0.000191	-20.2703	-27.5383	
193	0.000192	-19.6065	-27.9598	
194	0.000193	-20.3218	-27.0506	
195	0.000194	-20.5452	-27.1225	
196	0.000195	-19.9694	-27.9692	
197	0.000196	-19.8825	-28.5221	
198	0.000197	-19.9398	-28.0518	
199	0.000198	-20.4105	-27.6743	
200	0.000199	-20.4492	-27.2994	
201	0.0002	-19.4589	-27.4659	
202	0.000201	-19.5202	-27.788	
203	0.000202	-19.9174	-27.8652	
204	0.000203	-20.1989	-27.5681	
205	0.000204	-19.782	-27.7862	
206	0.000205	-19.6418	-27.7318	
207	0.000206	-19.9491	-27.7908	
208	0.000207	-20.6924	-27.3463	
209	0.000208	-20.506	-27.2151	
210	0.000209	-19.3092	-27.2432	
211	0.00021	-19.6608	-26.6918	
212	0.000211	-19.2096	-27.1252	
213	0.000212	-18.9527	-26.7331	
214	0.000213	-19.4015	-27.0686	
215	0.000214	-20.7268	-26.1245	
216	0.000215	-20.1124	-26.8253	
217	0.000216	-19.5827	-26.5415	
218	0.000217	-19.7015	-26.5007	
219	0.000218	-19.4344	-27.5521	
220	0.000219	-19.1899	-26.6044	
221	0.00022	-20.9236	-26.3497	
222	0.000221	-18.7488	-27.2787	
223	0.000222	-19.2415	-26.7951	
224	0.000223	-19.4696	-26.1754	
225	0.000224	-18.7989	-26.6758	
226	0.000225	-19.0446	-26.6561	
227	0.000226	-18.4555	-26.4016	
228	0.000227	-18.889	-26.6062	
229	0.000228	-19.1247	-26.3836	
230	0.000229	-19.0764	-26.7079	
231	0.00023	-18.5095	-26.904	
232	0.000231	-18.8975	-25.9939	
233	0.000232	-18.5358	-26.1131	
234	0.000233	-18.7349	-26.1439	
235	0.000234	-18.3285	-26.612	
236	0.000235	-19.2477	-25.7058	
237	0.000236	-17.93	-26.7647	
238	0.000237	-18.3815	-26.485	
239	0.000238	-18.95	-26.7799	
240	0.000239	-18.7402	-26.7443	
241	0.00024	-18.9592	-26.2	
242	0.000241	-18.8902	-26.6329	
243	0.000242	-18.7713	-25.841	
244	0.000243	-18.4019	-26.28	
245	0.000244	-18.5976	-25.7878	
246	0.000245	-18.3966	-25.9985	
247	0.000246	-18.2362	-26.0399	
248	0.000247	-19.0335	-25.5026	
249	0.000248	-18.7421	-26.2272	
250	0.000249	-18.6317	-25.8809	
251	0.00025	-18.0551	-26.6382	
252	0.000251	-18.1351	-26.4082	
253	0.000252	-18.7359	-25.9574	
254	0.000253	-19.4203	-24.991	
255	0.000254	-19.2221	-25.4227	
256	0.000255	-18.4047	-25.6613	
257	0.000256	-18.3509	-26.2621	
258	0.000257	-18.2932	-26.1988	
259	0.000258	-18.6135	-25.7537	
260	0.000259	-19.6701	-25.0043	
261	0.00026	-19.052	-25.3991	
262	0.000261	-19.6472	-25.0905	
263	0.000262	-19.3418	-25.8316	
264	0.000263	-18.5359	-25.877	
265	0.000264	-18.9051	-25.4104	
266	0.000265	-19.8797	-25.1052	
267	0.000266	-19.5214	-25.8399	
268	0.000267	-19.0362	-26.1763	
269	0.000268	-19.3974	-25.8116	
270	0.000269	-18.9967	-26.0575	
271	0.00027	-19.5745	-26.0164	
272	0.000271	-20.1085	-25.8243	
273	0.000272	-19.4864	-26.2478	
274	0.000273	-19.7705	-26.2581	
275	0.000274	-19.2154	-26.2862	
276	0.000275	-20.1932	-25.5379	
277	0.000276	-20.8167	-25.2942	
278	0.000277	-20.0507	-25.3308	
279	0.000278	-20.0804	-25.8571	
280	0.000279	-19.374	-26.4215	
281	0.00028	-19.7397	-26.1572	
282	0.000281	-20.6325	-26.2148	
283	0.000282	-21.3429	-25.5887	
284	0.000283	-20.4984	-26.2903	
285	0.000284	-21.3877	-25.7581	
286	0.000285	-21.4612	-26.0559	
287	0.000286	-20.9007	-26.6323	
288	0.000287	-20.5939	-26.4447	
289	0.000288	-21.1369	-26.1947	
290	0.000289	-20.7235	-27.0858	
291	0.00029	-20.7138	-27.1657	
292	0.000291	-20.5122	-27.4922	
293	0.000292	-21.7919	-26.5872	
294	0.000293	-21.2184	-27.2668	
295	0.000294	-21.4786	-27.0944	
296	0.000295	-21.5467	-26.888	
297	0.000296	-21.5741	-27.0903	
298	0.000297	-21.1742	-27.7057	
299	0.000298	-22.2829	-27.8915	
300	0.000299	-21.5509	-28.2933	
301	0.0003	-22.1597	-27.9947	
302	0.000301	-21.5481	-27.6563	
303	0.000302	-21.7052	-27.7735	
304	0.000303	-22.351	-27.0671	
305	0.000304	-22.4397	-27.5798	
306	0.000305	-23.2405	-27.3072	
307	0.000306	-21.2119	-27.7863	
