CompteurTemps	Temps	Cx0	Cy0	
1	0	-631.603	124.588	
2	1e-06	-306.412	-124.08	
3	2e-06	-122.136	-247.054	
4	3e-06	-106.676	-222.045	
5	4e-06	-92.8363	-199.478	
6	5e-06	-81.4848	-175.874	
7	6e-06	-74.9859	-157.693	
8	7e-06	-66.3506	-141.367	
9	8e-06	-60.8192	-127.236	
10	9e-06	-54.2746	-114.516	
11	1e-05	-51.6003	-104.961	
12	1.1e-05	-45.6732	-95.5033	
13	1.2e-05	-43.4817	-86.0491	
14	1.3e-05	-38.9385	-80.3066	
15	1.4e-05	-38.366	-73.4217	
16	1.5e-05	-34.5018	-68.7422	
17	1.6e-05	-33.8089	-64.6249	
18	1.7e-05	-30.8247	-62.1469	
19	1.8e-05	-29.3895	-58.5149	
20	1.9e-05	-27.8391	-54.8415	
21	2e-05	-27.123	-53.3347	
22	2.1e-05	-25.9898	-51.7568	
23	2.2e-05	-24.8153	-49.6818	
24	2.3e-05	-25.0898	-46.9353	
25	2.4e-05	-22.9785	-47.0099	
26	2.5e-05	-23.2864	-45.4429	
27	2.6e-05	-21.4211	-45.0468	
28	2.7e-05	-21.1505	-43.8949	
29	2.8e-05	-20.8213	-42.372	
30	2.9e-05	-21.3126	-41.3754	
31	3e-05	-21.4488	-41.0321	
32	3.1e-05	-20.8287	-41.3264	
33	3.2e-05	-19.0061	-42.2791	
34	3.3e-05	-19.0763	-42.5308	
35	3.4e-05	-19.1767	-41.5279	
36	3.5e-05	-20.4308	-39.6648	
37	3.6e-05	-19.7917	-39.916	
38	3.7e-05	-19.7966	-39.7596	
39	3.8e-05	-19.4676	-40.7957	
40	3.9e-05	-18.7502	-40.4571	
41	4e-05	-18.1812	-40.6865	
42	4.1e-05	-19.1662	-40.3559	
43	4.2e-05	-18.8762	-40.4633	
44	4.3e-05	-17.8235	-40.8729	
45	4.4e-05	-18.5098	-40.1235	
46	4.5e-05	-17.9055	-41.3063	
47	4.6e-05	-18.2757	-41.3064	
48	4.7e-05	-18.8772	-39.8641	
49	4.8e-05	-17.3619	-40.4281	
50	4.9e-05	-18.8298	-40.3112	
51	5e-05	-19.0299	-40.1083	
52	5.1e-05	-18.1894	-41.4532	
53	5.2e-05	-19.152	-40.9546	
54	5.3e-05	-18.2773	-40.7062	
55	5.4e-05	-18.7494	-39.9023	
56	5.5e-05	-17.7312	-40.9109	
57	5.6e-05	-18.4977	-40.7314	
58	5.7e-05	-19.5099	-40.2683	
59	5.8e-05	-18.048	-40.9416	
60	5.9e-05	-18.2285	-41.0809	
61	6e-05	-18.2862	-42.3716	
