CompteurTemps	Temps	Cx0	Cy0	
1	0	-371.382	64.0625	
2	1e-06	-197.841	-85.9361	
3	2e-06	-89.335	-162.892	
4	3e-06	-76.3918	-146.717	
5	4e-06	-66.2538	-131.622	
6	5e-06	-59.4328	-116.46	
7	6e-06	-53.8405	-103.727	
8	7e-06	-47.7144	-93.0055	
9	8e-06	-43.4938	-83.9471	
10	9e-06	-39.0605	-75.0005	
11	1e-05	-36.3304	-69.2521	
12	1.1e-05	-32.0689	-62.9305	
13	1.2e-05	-30.6715	-57.3956	
14	1.3e-05	-28.634	-53.1639	
15	1.4e-05	-25.4877	-49.1896	
16	1.5e-05	-24.1387	-44.9193	
17	1.6e-05	-22.2593	-41.912	
18	1.7e-05	-21.5129	-38.8966	
19	1.8e-05	-19.6909	-36.4687	
20	1.9e-05	-18.531	-34.313	
21	2e-05	-18.934	-32.4178	
22	2.1e-05	-17.0678	-31.1755	
23	2.2e-05	-16.7447	-29.3005	
24	2.3e-05	-15.4452	-27.9907	
25	2.4e-05	-15.236	-26.4213	
26	2.5e-05	-13.5748	-26.604	
27	2.6e-05	-12.9605	-25.6303	
28	2.7e-05	-13.2378	-23.8414	
29	2.8e-05	-12.6311	-22.7894	
30	2.9e-05	-11.6025	-22.7992	
31	3e-05	-11.5552	-21.7036	
32	3.1e-05	-12.1021	-22.1035	
33	3.2e-05	-12.4192	-21.2025	
34	3.3e-05	-11.0754	-21.8438	
35	3.4e-05	-11.4065	-20.7027	
36	3.5e-05	-10.8739	-20.5912	
37	3.6e-05	-11.5975	-19.4934	
38	3.7e-05	-10.371	-20.1586	
39	3.8e-05	-9.45663	-20.2709	
40	3.9e-05	-9.61458	-19.7539	
41	4e-05	-9.97088	-19.1144	
42	4.1e-05	-10.1353	-18.932	
43	4.2e-05	-9.8405	-19.3615	
44	4.3e-05	-9.96228	-19.2655	
45	4.4e-05	-10.0456	-19.095	
46	4.5e-05	-9.90583	-18.7491	
47	4.6e-05	-9.0207	-19.1178	
48	4.7e-05	-9.30034	-19.3938	
49	4.8e-05	-8.87163	-19.0903	
50	4.9e-05	-9.05348	-18.799	
51	5e-05	-8.8761	-18.835	
52	5.1e-05	-9.05111	-19.1098	
53	5.2e-05	-9.73324	-18.8135	
54	5.3e-05	-9.13994	-18.929	
55	5.4e-05	-8.81386	-19.2745	
56	5.5e-05	-9.18065	-18.8535	
57	5.6e-05	-9.94423	-18.2007	
58	5.7e-05	-9.49951	-18.4549	
59	5.8e-05	-8.90173	-19.2132	
60	5.9e-05	-8.78689	-18.7333	
61	6e-05	-9.15325	-18.5533	
62	6.1e-05	-9.25058	-17.8076	
63	6.2e-05	-8.73279	-18.4285	
64	6.3e-05	-9.00988	-18.1653	
65	6.4e-05	-8.97379	-19.3857	
66	6.5e-05	-9.15139	-18.3748	
67	6.6e-05	-9.25225	-19.3881	
68	6.7e-05	-9.23795	-19.0925	
69	6.8e-05	-8.98346	-19.2703	
70	6.9e-05	-8.81068	-19.2845	
71	7e-05	-8.51031	-19.2872	
72	7.1e-05	-8.9357	-19.1034	
73	7.2e-05	-9.06373	-19.0495	
74	7.3e-05	-9.11892	-19.3732	
75	7.4e-05	-9.66834	-18.8993	
76	7.5e-05	-8.63072	-20.1286	
77	7.6e-05	-8.55459	-19.9099	
78	7.7e-05	-9.04906	-19.7927	
79	7.8e-05	-9.00405	-19.5284	
80	7.9e-05	-8.79591	-19.8821	
81	8e-05	-9.34001	-19.339	
82	8.1e-05	-9.06837	-19.7345	
83	8.2e-05	-9.88943	-18.8328	
84	8.3e-05	-9.4066	-19.3958	
85	8.4e-05	-9.17625	-19.5098	
86	8.5e-05	-9.30482	-19.8378	
87	8.6e-05	-9.44154	-20.0066	
88	8.7e-05	-9.07101	-20.1172	
89	8.8e-05	-9.30779	-20.054	
90	8.9e-05	-8.66588	-20.3799	
91	9e-05	-8.83722	-20.3915	
92	9.1e-05	-9.62301	-19.6832	
93	9.2e-05	-8.97863	-20.0958	
94	9.3e-05	-9.03722	-20.4298	
95	9.4e-05	-8.90615	-20.2799	
96	9.5e-05	-8.94429	-20.1761	
97	9.6e-05	-8.98694	-19.8287	
98	9.7e-05	-8.57022	-20.3537	
99	9.8e-05	-8.39258	-20.4612	
100	9.9e-05	-9.38302	-19.3319	
101	0.0001	-8.67069	-19.8268	
102	0.000101	-9.40925	-19.5307	
103	0.000102	-9.23766	-19.5842	
104	0.000103	-8.96517	-19.9253	
105	0.000104	-9.31362	-19.8221	
106	0.000105	-9.21254	-20.1571	
107	0.000106	-8.74638	-20.5192	
108	0.000107	-9.18473	-19.9671	
109	0.000108	-9.20365	-20.2416	
110	0.000109	-8.69406	-20.7305	
111	0.00011	-8.92299	-20.2979	
112	0.000111	-9.34106	-20.4722	
113	0.000112	-8.893	-20.3863	
114	0.000113	-9.07875	-19.651	
115	0.000114	-9.66003	-19.4329	
116	0.000115	-9.26598	-19.9191	
117	0.000116	-9.35762	-20.6747	
118	0.000117	-9.87396	-20.658	
119	0.000118	-10.1283	-20.2143	
120	0.000119	-9.33099	-20.8541	
121	0.00012	-8.74141	-21.1517	
122	0.000121	-8.94924	-21.3435	
123	0.000122	-8.97098	-20.9657	
124	0.000123	-9.32013	-20.5694	
125	0.000124	-9.76564	-20.191	
126	0.000125	-8.75635	-20.5313	
127	0.000126	-8.73839	-20.3504	
128	0.000127	-9.66812	-20.0418	
129	0.000128	-9.31746	-20.4119	
130	0.000129	-9.46381	-20.3551	
131	0.00013	-9.08674	-20.1043	
132	0.000131	-9.58766	-19.8608	
133	0.000132	-8.53947	-20.7678	
134	0.000133	-9.42611	-20.5062	
135	0.000134	-8.76566	-20.8455	
136	0.000135	-9.17421	-20.7409	
137	0.000136	-9.76488	-20.4573	
138	0.000137	-9.33867	-20.3156	
139	0.000138	-9.19839	-20.3901	
140	0.000139	-8.98873	-20.2321	
141	0.00014	-9.28448	-19.7355	
142	0.000141	-9.08045	-20.3471	
143	0.000142	-9.51559	-19.9847	
144	0.000143	-9.31888	-20.2165	
145	0.000144	-9.14444	-20.3534	
146	0.000145	-9.37611	-20.2388	
147	0.000146	-10.4721	-19.8191	
148	0.000147	-9.12525	-21.2298	
149	0.000148	-9.9162	-20.4438	
150	0.000149	-9.85552	-20.6137	
151	0.00015	-9.31452	-20.9656	
152	0.000151	-10.2482	-20.4398	
153	0.000152	-10.3846	-21.0023	
154	0.000153	-9.4484	-21.5712	
155	0.000154	-9.32422	-21.2912	
156	0.000155	-9.46812	-20.7977	
157	0.000156	-9.97411	-20.9173	
158	0.000157	-9.54687	-21.1273	
159	0.000158	-9.72651	-20.7708	
160	0.000159	-9.25878	-21.1397	
161	0.00016	-9.66928	-21.0047	
162	0.000161	-10.4552	-20.6263	
163	0.000162	-9.78574	-21.2323	
164	0.000163	-9.81482	-21.4415	
165	0.000164	-8.99271	-21.226	
166	0.000165	-9.98706	-20.2605	
167	0.000166	-9.28495	-20.8009	
168	0.000167	-9.50363	-20.6003	
169	0.000168	-9.96423	-20.0376	
170	0.000169	-9.65254	-20.538	
171	0.00017	-9.95834	-20.1599	
172	0.000171	-10.2556	-20.3165	
173	0.000172	-9.28301	-20.9745	
174	0.000173	-9.42358	-21.0774	
175	0.000174	-9.37569	-21.5738	
176	0.000175	-9.74968	-21.3595	
177	0.000176	-10.06	-20.9252	
178	0.000177	-9.70636	-21.3757	
179	0.000178	-10.2013	-21.0339	
180	0.000179	-9.76546	-20.9386	
181	0.00018	-10.1187	-21.1572	
182	0.000181	-9.72661	-21.32	
183	0.000182	-10.0531	-21.0617	
184	0.000183	-10.4463	-21.1054	
185	0.000184	-10.0564	-21.3103	
186	0.000185	-10.3946	-21.5068	
