CompteurTemps	Temps	Cx0	Cy0	
1	0	-534.241	79.9585	
2	1e-06	-382.275	-156.996	
3	2e-06	-208.044	-279.533	
4	3e-06	-179.628	-256.565	
5	4e-06	-161.88	-229.996	
6	5e-06	-145.464	-207.452	
7	6e-06	-129.506	-187.965	
8	7e-06	-115.586	-167.571	
9	8e-06	-108.742	-151.77	
10	9e-06	-100.023	-139.817	
11	1e-05	-92.571	-130.278	
12	1.1e-05	-84.3661	-119.886	
13	1.2e-05	-78.8152	-111.609	
14	1.3e-05	-70.9954	-103.619	
15	1.4e-05	-69.0394	-97.6361	
16	1.5e-05	-64.9752	-91.2956	
17	1.6e-05	-63.7021	-86.0431	
18	1.7e-05	-60.5369	-85.1639	
19	1.8e-05	-55.9391	-80.6271	
20	1.9e-05	-52.8745	-76.0644	
21	2e-05	-50.9683	-73.9993	
22	2.1e-05	-49.3214	-70.7271	
23	2.2e-05	-46.365	-70.2627	
24	2.3e-05	-46.7953	-67.0926	
25	2.4e-05	-44.9237	-65.307	
26	2.5e-05	-45.1913	-63.3523	
27	2.6e-05	-43.3232	-61.9482	
28	2.7e-05	-41.7626	-61.2756	
29	2.8e-05	-42.4611	-59.585	
30	2.9e-05	-39.7126	-58.5928	
31	3e-05	-37.6201	-58.6795	
32	3.1e-05	-39.5428	-57.4612	
33	3.2e-05	-37.8218	-57.3824	
34	3.3e-05	-37.7594	-56.7298	
35	3.4e-05	-37.5358	-56.424	
36	3.5e-05	-36.893	-55.82	
37	3.6e-05	-35.4275	-55.5689	
38	3.7e-05	-35.4765	-55.2305	
39	3.8e-05	-35.819	-55.5393	
40	3.9e-05	-36.1874	-53.636	
41	4e-05	-34.3873	-55.3988	
42	4.1e-05	-35.4129	-54.5269	
43	4.2e-05	-36.242	-53.5721	
44	4.3e-05	-34.2337	-54.6396	
45	4.4e-05	-34.0058	-54.0637	
46	4.5e-05	-34.1975	-53.8559	
47	4.6e-05	-34.7616	-53.2504	
48	4.7e-05	-34.9496	-53.466	
49	4.8e-05	-35.0292	-53.7017	
50	4.9e-05	-34.147	-54.1933	
51	5e-05	-32.9088	-53.3059	
52	5.1e-05	-34.8851	-52.2221	
53	5.2e-05	-34.1894	-54.3265	
54	5.3e-05	-35.0926	-53.9938	
55	5.4e-05	-34.4047	-54.4051	
56	5.5e-05	-34.4233	-54.4103	
57	5.6e-05	-34.5912	-53.9768	
58	5.7e-05	-33.9218	-55.7548	
59	5.8e-05	-34.8099	-53.7249	
60	5.9e-05	-34.0161	-54.4732	
61	6e-05	-34.8627	-54.8775	
62	6.1e-05	-35.0993	-54.4283	
63	6.2e-05	-35.0515	-54.8276	
64	6.3e-05	-34.942	-54.5752	
65	6.4e-05	-34.5764	-55.8517	
66	6.5e-05	-34.6152	-55.9861	
67	6.6e-05	-35.0813	-55.9046	
68	6.7e-05	-35.9062	-55.0868	
69	6.8e-05	-35.4554	-54.7813	
70	6.9e-05	-35.5932	-54.9501	
71	7e-05	-35.6652	-55.2165	
72	7.1e-05	-35.2887	-54.6491	
73	7.2e-05	-34.8428	-55.4489	
74	7.3e-05	-34.8063	-55.2108	
75	7.4e-05	-34.4322	-54.8394	
76	7.5e-05	-36.4278	-54.5729	
77	7.6e-05	-34.3126	-55.7493	
78	7.7e-05	-36.4006	-54.3718	
79	7.8e-05	-35.6364	-55.5876	
80	7.9e-05	-36.6239	-54.3717	
81	8e-05	-35.3595	-55.6002	
82	8.1e-05	-35.6337	-54.3697	
83	8.2e-05	-35.1603	-55.0829	
84	8.3e-05	-37.1984	-54.213	
85	8.4e-05	-36.1433	-54.8842	
86	8.5e-05	-35.8084	-55.4976	
87	8.6e-05	-35.3627	-55.9231	
88	8.7e-05	-35.4542	-55.3871	
89	8.8e-05	-34.9747	-55.7665	
90	8.9e-05	-35.478	-55.4999	
91	9e-05	-36.0054	-55.941	
92	9.1e-05	-35.7677	-54.8329	
93	9.2e-05	-35.4825	-55.1527	
94	9.3e-05	-34.4851	-55.7706	
95	9.4e-05	-35.6788	-55.0867	
96	9.5e-05	-35.9	-54.7062	
97	9.6e-05	-36.931	-55.0347	
98	9.7e-05	-36.6257	-56.2807	
99	9.8e-05	-36.3533	-54.8695	
100	9.9e-05	-34.8665	-55.7562	
101	0.0001	-36.3056	-54.162	
102	0.000101	-37.1492	-53.8678	
103	0.000102	-36.4216	-55.691	
104	0.000103	-35.047	-55.4371	
105	0.000104	-37.2903	-55.371	
106	0.000105	-37.9977	-56.3948	
107	0.000106	-36.1873	-56.7272	
108	0.000107	-37.9187	-54.3594	
109	0.000108	-36.6946	-56.9541	
110	0.000109	-37.1688	-54.7127	
111	0.00011	-36.8998	-55.7794	
112	0.000111	-37.3713	-54.7162	
113	0.000112	-36.6215	-55.6922	
114	0.000113	-37.4942	-56.1488	
115	0.000114	-36.9289	-54.7687	
116	0.000115	-37.0787	-55.624	
117	0.000116	-35.6416	-56.5278	
118	0.000117	-36.5549	-55.3935	
119	0.000118	-37.3369	-54.5462	
120	0.000119	-36.9759	-54.5541	
121	0.00012	-36.8053	-53.9229	
122	0.000121	-36.2788	-55.0598	
123	0.000122	-36.5827	-55.1824	
124	0.000123	-37.1554	-55.1366	
125	0.000124	-35.6544	-55.2926	
126	0.000125	-36.0986	-56.1731	
127	0.000126	-37.3952	-56.2698	
128	0.000127	-37.4367	-56.8803	
129	0.000128	-37.0784	-55.7518	
130	0.000129	-36.1179	-56.248	
131	0.00013	-37.6782	-55.1193	
132	0.000131	-38.0691	-55.2955	
133	0.000132	-36.725	-56.4652	
134	0.000133	-38.2437	-56.8333	
135	0.000134	-37.5579	-56.406	
136	0.000135	-38.4792	-55.9202	
137	0.000136	-37.0704	-55.7812	
138	0.000137	-38.8263	-55.1494	
139	0.000138	-38.5214	-55.2654	
140	0.000139	-37.4061	-55.8063	
141	0.00014	-37.8721	-55.1872	
142	0.000141	-36.8998	-56.0069	
143	0.000142	-37.2957	-55.4257	
144	0.000143	-39.1209	-55.1496	
145	0.000144	-38.3534	-57.7707	
146	0.000145	-38.0518	-57.2148	
147	0.000146	-37.0745	-57.1275	
