CompteurTemps	Temps	Cx0	Cy0	
1	0	-371.836	92.8244	
2	1e-06	-183.131	40.7969	
3	2e-06	-33.651	-91.9246	
4	3e-06	-20.6568	-84.3468	
5	4e-06	-18.0169	-72.1269	
6	5e-06	-15.7561	-61.53	
7	6e-06	-12.6022	-52.5639	
8	7e-06	-11.7178	-44.5443	
9	8e-06	-10.8631	-38.9793	
10	9e-06	-9.72512	-33.8522	
11	1e-05	-9.89966	-29.4115	
12	1.1e-05	-8.76809	-26.4459	
13	1.2e-05	-7.29284	-23.4741	
14	1.3e-05	-7.14142	-20.7085	
15	1.4e-05	-7.73203	-18.1192	
16	1.5e-05	-6.91395	-16.4533	
17	1.6e-05	-5.46346	-15.433	
18	1.7e-05	-5.42626	-13.7234	
19	1.8e-05	-5.21029	-12.7662	
20	1.9e-05	-4.64946	-11.8034	
21	2e-05	-4.96031	-10.411	
22	2.1e-05	-5.37108	-9.15122	
23	2.2e-05	-4.67706	-8.82707	
24	2.3e-05	-4.25632	-8.68167	
25	2.4e-05	-3.90926	-8.26718	
26	2.5e-05	-4.15411	-7.56242	
27	2.6e-05	-3.8109	-7.32429	
28	2.7e-05	-3.87916	-6.95129	
29	2.8e-05	-5.15493	-5.82214	
30	2.9e-05	-4.52617	-6.31382	
31	3e-05	-4.2313	-6.0529	
32	3.1e-05	-3.65641	-6.00547	
33	3.2e-05	-4.22	-5.51298	
34	3.3e-05	-3.98063	-5.32647	
35	3.4e-05	-3.7996	-5.69784	
36	3.5e-05	-3.02381	-5.98882	
37	3.6e-05	-2.54492	-6.11035	
38	3.7e-05	-3.34372	-5.24488	
39	3.8e-05	-2.84181	-5.54543	
40	3.9e-05	-3.18483	-5.10128	
41	4e-05	-3.31038	-5.12286	
42	4.1e-05	-2.81169	-5.50996	
43	4.2e-05	-2.92466	-5.2467	
44	4.3e-05	-4.00065	-4.71976	
45	4.4e-05	-3.54008	-5.08552	
46	4.5e-05	-3.10831	-5.14416	
47	4.6e-05	-3.80166	-4.72268	
48	4.7e-05	-3.80345	-4.89209	
49	4.8e-05	-3.36453	-4.93154	
50	4.9e-05	-3.24555	-4.97867	
51	5e-05	-3.28159	-5.1825	
52	5.1e-05	-2.96786	-5.3066	
53	5.2e-05	-3.26246	-5.25032	
54	5.3e-05	-3.43235	-4.88039	
55	5.4e-05	-2.97953	-5.56026	
56	5.5e-05	-3.77337	-5.15	
57	5.6e-05	-3.08293	-5.52872	
58	5.7e-05	-3.11961	-5.55033	
59	5.8e-05	-3.75595	-5.71398	
60	5.9e-05	-3.52666	-5.52516	
61	6e-05	-3.3953	-5.83739	
62	6.1e-05	-3.59103	-5.37181	
63	6.2e-05	-3.31537	-5.70764	
64	6.3e-05	-2.93272	-5.52016	
65	6.4e-05	-3.1687	-5.80179	
66	6.5e-05	-4.2048	-5.37966	
67	6.6e-05	-4.44566	-5.03634	
68	6.7e-05	-3.86078	-5.73898	
69	6.8e-05	-3.54846	-5.67866	
70	6.9e-05	-3.07603	-5.66608	
71	7e-05	-3.68951	-5.32299	
72	7.1e-05	-3.30213	-5.82315	
73	7.2e-05	-2.78819	-5.94711	
74	7.3e-05	-3.03309	-6.00037	
75	7.4e-05	-2.80545	-6.20661	
76	7.5e-05	-2.57743	-6.41147	
77	7.6e-05	-2.54316	-6.21301	
78	7.7e-05	-2.81877	-6.00145	
