CompteurTemps	Temps	Cx0	Cy0	
1	0	-313.15	68.0871	
2	1e-06	-203.737	77.3681	
3	2e-06	-34.7252	-74.1309	
4	3e-06	-18.8874	-72.1414	
5	4e-06	-14.4886	-61.3527	
6	5e-06	-14.6341	-51.8135	
7	6e-06	-10.9192	-45.3968	
8	7e-06	-10.3137	-37.8269	
9	8e-06	-9.51079	-32.7631	
10	9e-06	-8.47184	-29.0791	
11	1e-05	-7.67658	-25.6863	
12	1.1e-05	-7.29571	-21.8248	
13	1.2e-05	-6.3541	-19.9202	
14	1.3e-05	-6.45165	-16.838	
15	1.4e-05	-7.30964	-14.7119	
16	1.5e-05	-5.88159	-13.6728	
17	1.6e-05	-6.31447	-12.1362	
18	1.7e-05	-7.22447	-10.4389	
19	1.8e-05	-5.92022	-9.96724	
20	1.9e-05	-4.74524	-9.78293	
21	2e-05	-4.59513	-8.8788	
22	2.1e-05	-4.30339	-7.98179	
23	2.2e-05	-4.41658	-7.21748	
24	2.3e-05	-5.27633	-5.95763	
25	2.4e-05	-4.5777	-6.33525	
26	2.5e-05	-4.02481	-6.32118	
27	2.6e-05	-4.2192	-5.79321	
28	2.7e-05	-4.56673	-5.02195	
29	2.8e-05	-4.06422	-5.07941	
30	2.9e-05	-3.98824	-4.94879	
31	3e-05	-4.16709	-5.00783	
32	3.1e-05	-4.54377	-4.56532	
33	3.2e-05	-3.83168	-4.8165	
34	3.3e-05	-3.38688	-5.12819	
35	3.4e-05	-4.30417	-3.98396	
36	3.5e-05	-3.61434	-4.31044	
37	3.6e-05	-3.15211	-4.69582	
38	3.7e-05	-3.1842	-4.83657	
39	3.8e-05	-3.61867	-4.39718	
40	3.9e-05	-3.71154	-4.26983	
41	4e-05	-2.97073	-4.73982	
42	4.1e-05	-2.89992	-4.7399	
43	4.2e-05	-2.80711	-4.45618	
44	4.3e-05	-2.69087	-4.66174	
45	4.4e-05	-2.65462	-4.6256	
46	4.5e-05	-3.30716	-4.05946	
47	4.6e-05	-4.10484	-3.41785	
48	4.7e-05	-3.75388	-3.79206	
49	4.8e-05	-3.39677	-4.45157	
50	4.9e-05	-3.56349	-4.29938	
51	5e-05	-3.54543	-4.35901	
52	5.1e-05	-2.97656	-4.9463	
53	5.2e-05	-3.27031	-4.16695	
54	5.3e-05	-3.79842	-4.00918	
55	5.4e-05	-2.81653	-4.78048	
56	5.5e-05	-3.6361	-3.84034	
57	5.6e-05	-3.52885	-3.94886	
58	5.7e-05	-3.85195	-3.93151	
59	5.8e-05	-4.37663	-3.89095	
60	5.9e-05	-3.51044	-4.44255	
61	6e-05	-2.6717	-5.0515	
62	6.1e-05	-3.05803	-4.6184	
63	6.2e-05	-2.50748	-5.06103	
64	6.3e-05	-3.25292	-4.56572	
65	6.4e-05	-3.9567	-4.25924	
66	6.5e-05	-3.69682	-4.52681	
67	6.6e-05	-3.04074	-4.89408	
68	6.7e-05	-2.55085	-5.00239	
69	6.8e-05	-3.58713	-4.17939	
70	6.9e-05	-3.47368	-4.80247	
71	7e-05	-2.55321	-5.4595	
72	7.1e-05	-2.94552	-4.82073	
73	7.2e-05	-3.52127	-4.47561	
74	7.3e-05	-3.21557	-4.81358	
75	7.4e-05	-3.37138	-4.71951	
76	7.5e-05	-3.5163	-4.71198	
77	7.6e-05	-3.08098	-4.9213	
78	7.7e-05	-3.70085	-4.65022	
79	7.8e-05	-3.14726	-4.9593	
80	7.9e-05	-3.168	-4.71776	
81	8e-05	-2.83874	-5.0293	
82	8.1e-05	-3.02843	-4.90207	
83	8.2e-05	-3.82343	-4.8204	
84	8.3e-05	-3.63263	-4.87876	
85	8.4e-05	-2.92903	-5.39863	
86	8.5e-05	-2.65382	-5.28347	
87	8.6e-05	-2.57278	-5.29595	
88	8.7e-05	-2.60859	-5.28759	
89	8.8e-05	-2.66044	-5.26915	
90	8.9e-05	-2.75009	-5.35033	
91	9e-05	-3.32287	-5.1262	
92	9.1e-05	-2.90272	-5.35283	
93	9.2e-05	-3.6736	-4.79635	
94	9.3e-05	-3.41987	-5.00392	
95	9.4e-05	-2.87831	-5.37037	
96	9.5e-05	-3.33382	-5.03393	
97	9.6e-05	-2.82473	-5.45835	
98	9.7e-05	-3.28991	-5.12892	
99	9.8e-05	-2.77923	-5.38819	
100	9.9e-05	-2.9781	-5.57553	
101	0.0001	-2.6403	-5.94006	
102	0.000101	-2.48853	-6.09437	
103	0.000102	-2.39743	-6.02158	
104	0.000103	-2.91794	-5.58764	
105	0.000104	-3.11389	-5.30747	
106	0.000105	-2.40884	-5.86059	
107	0.000106	-2.81033	-5.45971	
108	0.000107	-2.46069	-5.67675	
109	0.000108	-2.56857	-5.58399	
110	0.000109	-2.71924	-5.39459	
111	0.00011	-2.62646	-5.46063	
112	0.000111	-2.26498	-5.82292	
113	0.000112	-3.46361	-5.17633	
114	0.000113	-2.77897	-5.41236	
115	0.000114	-3.34642	-4.72142	
116	0.000115	-2.94153	-5.30006	
