CompteurTemps	Temps	Cx0	Cy0	
1	0	-236.265	55.4733	
2	1e-06	-227.327	131.604	
3	2e-06	-29.3129	-60.3974	
4	3e-06	-18.259	-56.6028	
5	4e-06	-12.7448	-50.164	
6	5e-06	-11.7759	-41.5756	
7	6e-06	-9.95901	-36.3759	
8	7e-06	-9.0705	-30.7184	
9	8e-06	-9.06739	-26.4022	
10	9e-06	-8.50769	-22.8145	
11	1e-05	-6.46062	-20.6855	
12	1.1e-05	-5.78729	-18.2123	
13	1.2e-05	-5.53512	-15.7066	
14	1.3e-05	-4.54522	-14.3374	
15	1.4e-05	-5.65766	-12.0335	
16	1.5e-05	-5.66384	-10.8545	
17	1.6e-05	-5.74045	-8.55738	
18	1.7e-05	-3.92789	-9.2479	
19	1.8e-05	-4.17336	-7.94495	
20	1.9e-05	-4.44828	-7.04734	
21	2e-05	-4.51049	-6.13072	
22	2.1e-05	-4.64278	-5.81193	
23	2.2e-05	-5.43741	-5.10357	
24	2.3e-05	-4.36622	-5.77834	
25	2.4e-05	-4.22476	-5.26256	
26	2.5e-05	-4.26417	-4.99083	
27	2.6e-05	-3.50269	-5.18207	
28	2.7e-05	-4.51103	-4.02486	
29	2.8e-05	-4.33019	-4.16187	
30	2.9e-05	-3.96421	-4.19702	
31	3e-05	-4.18515	-4.0417	
32	3.1e-05	-4.4083	-3.67247	
33	3.2e-05	-4.1465	-3.4136	
34	3.3e-05	-4.31241	-3.26943	
35	3.4e-05	-4.73927	-3.04924	
36	3.5e-05	-4.02411	-3.34582	
37	3.6e-05	-2.74856	-4.23367	
38	3.7e-05	-4.79591	-2.55005	
39	3.8e-05	-4.90263	-3.01018	
40	3.9e-05	-3.45735	-3.95273	
41	4e-05	-4.16946	-3.08291	
42	4.1e-05	-3.00618	-3.99472	
43	4.2e-05	-3.30363	-3.54344	
44	4.3e-05	-4.74907	-2.66961	
45	4.4e-05	-4.94291	-3.02003	
46	4.5e-05	-3.69757	-4.21925	
47	4.6e-05	-3.77573	-3.7883	
48	4.7e-05	-3.21895	-4.26027	
49	4.8e-05	-3.29088	-4.47753	
50	4.9e-05	-3.49226	-4.20402	
51	5e-05	-3.39325	-3.95177	
52	5.1e-05	-3.7839	-3.41699	
53	5.2e-05	-4.53961	-2.87917	
54	5.3e-05	-3.56587	-3.60364	
55	5.4e-05	-2.89595	-3.97707	
56	5.5e-05	-2.73481	-4.08519	
57	5.6e-05	-2.43236	-4.28009	
58	5.7e-05	-3.3362	-3.0606	
59	5.8e-05	-3.33752	-3.92881	
60	5.9e-05	-2.86451	-3.85102	
61	6e-05	-2.65064	-3.96145	
62	6.1e-05	-3.88219	-2.94713	
63	6.2e-05	-3.80284	-3.10233	
64	6.3e-05	-3.52417	-3.44925	
65	6.4e-05	-3.02467	-3.51916	
66	6.5e-05	-2.8812	-3.50915	
67	6.6e-05	-3.13294	-3.14553	
68	6.7e-05	-3.04089	-3.22735	
69	6.8e-05	-3.21717	-3.16077	
70	6.9e-05	-3.6319	-3.54822	
71	7e-05	-3.87106	-3.14711	
72	7.1e-05	-3.64375	-3.26916	
73	7.2e-05	-3.58808	-3.39869	
74	7.3e-05	-3.27126	-3.51181	
75	7.4e-05	-2.99495	-3.67119	
76	7.5e-05	-3.08198	-3.42442	
77	7.6e-05	-3.11956	-3.34809	
78	7.7e-05	-3.16216	-3.31595	
79	7.8e-05	-2.90978	-3.38081	
80	7.9e-05	-2.70861	-3.4411	
81	8e-05	-2.30961	-3.53341	
