CompteurTemps	Temps	Cx0	Cy0	
1	0	-118.06	21.6929	
2	1e-06	-94.8196	15.8925	
3	2e-06	-23.4905	-51.1017	
4	3e-06	-16.8457	-48.0766	
5	4e-06	-14.5645	-43.3649	
6	5e-06	-12.8514	-38.6164	
7	6e-06	-11.7905	-34.6233	
8	7e-06	-10.2637	-31.5111	
9	8e-06	-9.87153	-28.2599	
10	9e-06	-8.9909	-25.9401	
11	1e-05	-8.33497	-23.3641	
12	1.1e-05	-7.56334	-21.3538	
13	1.2e-05	-7.30422	-19.1886	
14	1.3e-05	-6.3246	-17.7326	
15	1.4e-05	-6.10669	-15.9566	
16	1.5e-05	-5.21042	-14.9879	
17	1.6e-05	-5.36357	-13.345	
18	1.7e-05	-4.56151	-12.6102	
19	1.8e-05	-4.42105	-11.4049	
20	1.9e-05	-3.9142	-10.5961	
21	2e-05	-4.38537	-9.4024	
22	2.1e-05	-3.74098	-9.17461	
23	2.2e-05	-3.59785	-8.36193	
24	2.3e-05	-3.51809	-7.75548	
25	2.4e-05	-2.99149	-7.45683	
26	2.5e-05	-3.16696	-6.88414	
27	2.6e-05	-3.13308	-6.46065	
28	2.7e-05	-3.24355	-6.08853	
29	2.8e-05	-3.02463	-5.84663	
30	2.9e-05	-2.62262	-5.79316	
31	3e-05	-2.57983	-5.42136	
32	3.1e-05	-2.57436	-5.1097	
33	3.2e-05	-2.54923	-4.96112	
34	3.3e-05	-2.52642	-4.70195	
35	3.4e-05	-2.18967	-4.71623	
36	3.5e-05	-2.0692	-4.52965	
37	3.6e-05	-2.57812	-4.03627	
38	3.7e-05	-2.11883	-4.1391	
39	3.8e-05	-2.06647	-3.97399	
40	3.9e-05	-2.11867	-3.83098	
41	4e-05	-1.87058	-3.90857	
42	4.1e-05	-1.75294	-3.81866	
43	4.2e-05	-1.69729	-3.70779	
44	4.3e-05	-2.33368	-3.18904	
45	4.4e-05	-1.75142	-3.44949	
46	4.5e-05	-1.85547	-3.28177	
47	4.6e-05	-1.865	-3.30205	
48	4.7e-05	-1.86383	-3.33129	
49	4.8e-05	-1.86012	-3.25138	
50	4.9e-05	-1.81405	-3.27866	
51	5e-05	-1.77525	-3.18749	
52	5.1e-05	-1.62145	-3.23834	
53	5.2e-05	-1.60417	-3.18135	
54	5.3e-05	-1.55473	-3.20767	
55	5.4e-05	-1.54904	-3.18628	
56	5.5e-05	-1.51792	-3.14909	
57	5.6e-05	-1.60661	-3.07979	
58	5.7e-05	-1.50716	-3.09278	
59	5.8e-05	-1.51558	-3.12246	
60	5.9e-05	-1.43896	-2.95773	
61	6e-05	-1.68376	-2.86977	
62	6.1e-05	-1.82946	-2.74451	
63	6.2e-05	-1.88432	-2.7179	
64	6.3e-05	-1.83282	-2.70584	
65	6.4e-05	-1.75798	-2.98187	
66	6.5e-05	-1.75425	-2.87384	
67	6.6e-05	-1.60337	-2.98303	
68	6.7e-05	-1.66208	-2.91928	
69	6.8e-05	-1.354	-3.03252	
70	6.9e-05	-1.79659	-2.73157	
71	7e-05	-1.65863	-2.73401	
72	7.1e-05	-1.60891	-2.82807	
73	7.2e-05	-1.4526	-2.90999	
74	7.3e-05	-1.54312	-2.89524	
75	7.4e-05	-1.46979	-3.00305	
76	7.5e-05	-1.6604	-2.80602	
77	7.6e-05	-1.45852	-2.89527	
78	7.7e-05	-1.47078	-2.85546	
