CompteurTemps	Temps	Cx0	Cy0	
1	0	-112.035	21.3532	
2	1e-06	-93.7675	31.3656	
3	2e-06	-16.3794	-43.747	
4	3e-06	-12.583	-40.4902	
5	4e-06	-9.89926	-36.6179	
6	5e-06	-8.42612	-32.2934	
7	6e-06	-8.46687	-28.3111	
8	7e-06	-7.21287	-25.4683	
9	8e-06	-6.48597	-22.9284	
10	9e-06	-5.81444	-20.5608	
11	1e-05	-5.60753	-18.4466	
12	1.1e-05	-4.93487	-16.6294	
13	1.2e-05	-4.97025	-14.9549	
14	1.3e-05	-4.38871	-13.7728	
15	1.4e-05	-4.07658	-12.5734	
16	1.5e-05	-3.36629	-11.6156	
17	1.6e-05	-3.56646	-10.2749	
18	1.7e-05	-3.47072	-9.30086	
19	1.8e-05	-2.83559	-8.69049	
20	1.9e-05	-2.85304	-7.79386	
21	2e-05	-3.30618	-6.89423	
22	2.1e-05	-2.88394	-6.64304	
23	2.2e-05	-2.47674	-6.3201	
24	2.3e-05	-2.53495	-5.75705	
25	2.4e-05	-2.27325	-5.44373	
26	2.5e-05	-2.19152	-5.10556	
27	2.6e-05	-1.96605	-4.8235	
28	2.7e-05	-2.34213	-4.24672	
29	2.8e-05	-2.00982	-4.22095	
30	2.9e-05	-2.09429	-3.88713	
31	3e-05	-2.13486	-3.69436	
32	3.1e-05	-1.71773	-3.79514	
33	3.2e-05	-1.75985	-3.42501	
34	3.3e-05	-1.92845	-3.18953	
35	3.4e-05	-1.84337	-3.01575	
36	3.5e-05	-1.75234	-2.9266	
37	3.6e-05	-1.49725	-2.93593	
38	3.7e-05	-1.73149	-2.57997	
39	3.8e-05	-1.56195	-2.66241	
40	3.9e-05	-1.47194	-2.69392	
41	4e-05	-1.76921	-2.43858	
42	4.1e-05	-1.66725	-2.32183	
43	4.2e-05	-1.64147	-2.33492	
44	4.3e-05	-1.75798	-2.25185	
45	4.4e-05	-1.46061	-2.46661	
46	4.5e-05	-1.74811	-2.22215	
47	4.6e-05	-1.45293	-2.35784	
48	4.7e-05	-1.69981	-2.13511	
49	4.8e-05	-1.75906	-2.06437	
50	4.9e-05	-1.77437	-2.07777	
51	5e-05	-1.45163	-2.22607	
52	5.1e-05	-1.65944	-2.22727	
53	5.2e-05	-1.643	-2.09142	
54	5.3e-05	-1.40506	-2.2799	
55	5.4e-05	-1.33642	-2.26515	
56	5.5e-05	-1.45727	-2.30432	
57	5.6e-05	-1.27395	-2.33659	
58	5.7e-05	-1.43573	-2.21863	
59	5.8e-05	-1.4482	-2.14108	
60	5.9e-05	-1.2274	-2.43758	
61	6e-05	-1.0831	-2.3747	
62	6.1e-05	-1.42468	-2.06096	
63	6.2e-05	-1.5907	-2.09119	
64	6.3e-05	-1.31858	-2.27882	
65	6.4e-05	-1.31323	-2.30035	
66	6.5e-05	-1.32244	-2.19313	
67	6.6e-05	-1.33768	-2.20174	
68	6.7e-05	-1.44926	-2.18231	
69	6.8e-05	-1.34204	-2.13451	
